,location,salary,sector
0,,9.00 - 13.00 $ /hour,Entry Level
1,,"80,000.00 - 95,000.00 $ /year",Building Construction/Skilled Trades
2,,"60,000.00 - 72,000.00 $ /year",Experienced (Non-Manager)
3,,"70,000.00 - 100,000.00 $ /year",Engineering
4,,"75,000.00 - 100,000.00 $ /year",Experienced (Non-Manager)
5,,"68,000.00 - 72,000.00 $ /year",Engineering
6,,"58,000.00 - 65,000.00 $ /year",Experienced (Non-Manager)
7,,Up to $32000.00,Experienced (Non-Manager)
8,,"45,000.00 - 100,000.00 $ /yearBonus, Benefits, 401k",Manager (Manager/Supervisor of Staff)
9,,"40,000.00 - 50,000.00 $ /yearsalary",Experienced (Non-Manager)
10,,13.75 - 16.75 $ /hourYear End Bonus,Experienced (Non-Manager)
11,,"35,000.00 - 45,000.00 $ /year",Experienced (Non-Manager)
12,,"31,000.00 - 33,000.00 $ /year",Experienced (Non-Manager)
13,,50.00 - 65.00 $ /hour,Experienced (Non-Manager)
14,,"100,000.00 - 120,000.00 $ /year",Experienced (Non-Manager)
15,,17.00 - 22.00 $ /hour,Experienced (Non-Manager)
16,,"$50,000.00+ /year",Editorial/Writing
17,,"56,000.00 - 64,000.00 $ /yearHighly Competitive Base Salary Plus Lucrative Bonus Plan, Benefit Package, in a Highly Diverse, Very Successful Company! Performance Based Upward Mobility Assured.? Do Not Hesitate, Apply Today.? Grow with this Nationally Present, Dynamic Restaurant Group",Manager (Manager/Supervisor of Staff)
18,,45.00 - 50.00 $ /hour,Experienced (Non-Manager)
19,TX,"75,000.00 - 130,000.00 $ /yearGenerous Commission plan",Experienced (Non-Manager)
20,CO,Up to $45000.00,Experienced (Non-Manager)
21,CO,"0.00 - 85,000.00 $ /year",Experienced (Non-Manager)
22,TX,"60,000.00 - 110,000.00 $ /year",Building Construction/Skilled Trades
23,TX,"50,000.00 - 100,000.00 $ /year",Building Construction/Skilled Trades
24,FL,12.00 - 12.00 $ /hour,Customer Support/Client Care
25,CO,"70,000.00 - 85,000.00 $ /year",Accounting/Finance/Insurance
26,PA,"$40,000.00+ /year",Customer Support/Client Care
27,CO,60.00 - 82.00 $ /hour,IT/Software Development
28,CO,"100,000.00 - 150,000.00 $ /year",Accounting/Finance/Insurance
29,,"69,000.00 - 101,000.00 $ /year",Engineering
30,CA,15.00 - 19.00 $ /hour,Administrative/Clerical
31,MN,15.00 - 21.00 $ /hour,Accounting/Finance/Insurance
32,OH,13.00 - 16.00 $ /year,Administrative/Clerical
33,,"25,000.00 - 57,000.00 $ /year",Food Services/Hospitality
34,MN,17.00 - 17.00 $ /hour,Business/Strategic Management
35,NV,"85,000.00 - 100,000.00 $ /year",Accounting/Finance/Insurance
36,NV,19.00 - 19.00 $ /hour,Experienced (Non-Manager)
