,location,salary,sector
0,Texas,"75,000.00 - 130,000.00 $ /yearGenerous Commission plan",Experienced (Non-Manager)
1,Colorado,"0.00 - 85,000.00 $ /year",Experienced (Non-Manager)
2,Texas,"60,000.00 - 110,000.00 $ /year",Building Construction/Skilled Trades
3,Texas,"50,000.00 - 100,000.00 $ /year",Building Construction/Skilled Trades
4,Florida,12.00 - 12.00 $ /hour,Customer Support/Client Care
5,Colorado,"70,000.00 - 85,000.00 $ /year",Accounting/Finance/Insurance
6,Colorado,60.00 - 82.00 $ /hour,IT/Software Development
7,Colorado,"100,000.00 - 150,000.00 $ /year",Accounting/Finance/Insurance
8,California,15.00 - 19.00 $ /hour,Administrative/Clerical
9,Minnesota,15.00 - 21.00 $ /hour,Accounting/Finance/Insurance
10,Ohio,13.00 - 16.00 $ /year,Administrative/Clerical
11,Minnesota,17.00 - 17.00 $ /hour,Business/Strategic Management
12,Nevada,"85,000.00 - 100,000.00 $ /year",Accounting/Finance/Insurance
13,Nevada,19.00 - 19.00 $ /hour,Experienced (Non-Manager)
14,California,40.00 - 40.00 $ /hour,Experienced (Non-Manager)
15,Nevada,"70,000.00 - 80,000.00 $ /year",Accounting/Finance/Insurance
16,Nevada,"50,000.00 - 60,000.00 $ /year",Accounting/Finance/Insurance
17,California,0.00 - 20.00 $ /hour,Accounting/Finance/Insurance
18,Massachusetts,16.00 - 23.00 $ /hour,Accounting/Finance/Insurance
19,Michigan,15.00 - 18.00 $ /hour,Accounting/Finance/Insurance
20,Florida,10.00 - 11.00 $ /year,Food Services/Hospitality
21,Massachusetts,"0.00 - 90,000.00 $ /year",Accounting/Finance/Insurance
22,Michigan,20.00 - 26.00 $ /hour,Accounting/Finance/Insurance
23,New jersey,12.00 - 14.00 $ /hour,Experienced (Non-Manager)
24,Florida,11.85 - 11.85 $ /hour,Security/Protective Services
25,Delaware,14.00 - 14.00 $ /hour,Experienced (Non-Manager)
26,New York,30.93 - 30.93 $ /hour,Security/Protective Services
27,Virginia,15.00 - 17.00 $ /hour,Security/Protective Services
28,Maryland,20.00 - 23.00 $ /hour,Security/Protective Services
29,Florida,0.00 - 12.25 $ /hourPlus benefits,Experienced (Non-Manager)
30,Texas,55.00 - 65.00 $ /hour,IT/Software Development
31,New jersey,"40,000.00 - 45,000.00 $ /year",Sales/Retail/Business Development
32,Ohio,11.00 - 11.00 $ /hourBenefits Package,Entry Level
